fid,lon,lat,TC,Kperc,eU,eTh,U_Th,U_K,Th_K,MDT,COD_UNI_ES,SIGLA_UNID,LS9_B6_SWIR,LS9_B5_NIR,LS9_B4_Red,LS9_B3_Green,LS9_B2_Blue,LS9_B7_SWIR2,LS9_RGB_Falsacor_1,LS9_RGB_Falsacor_2,LS9_RGB_Falsacor_3
"1",-53.5996189719626,"-30.769983",0.665154918648792,0.393465424426719,0.013585856774524,0.913487971779244,0.0148725075690512,0.0345287182331679,2.3216473800975,274,7252,NP12vpfm,9681,17867,8235,8692,8058,9681,66,87,44
"2",-53.5984041308411,"-30.769983",0.34900799601268,0.564093960985581,0.785702442554103,0.22719888207171,3.45821438639876,1.39285739060445,0.40276779718533,271,7252,NP12vpfm,9362,16599,8188,8485,7906,9362,59,80,37
"3",-53.5971892897196,"-30.769983",0.295377902015369,0.918255902993941,0.298961613336585,0.702467826542049,0.425587624145359,0.325575487575774,0.765002244201946,288,7252,NP12vpfm,9010,13814,8063,8219,7732,9010,53,80,27
"4",-53.5959744485981,"-30.769983",0.334311100172242,0.840326538328491,0.757588298602098,0.877493962321667,0.863354428784532,0.901540370376771,1.04422973962849,280,7252,NP12vpfm,9587,18396,8270,8759,8127,9587,67,94,41
"5",-53.5984041308411,"-30.7654074745763",0.196747524822585,0.263359631882531,0.608920978491047,0.269550278787073,2.25902559341092,2.31212723885736,1.02350643817464,221,7252,NP12vpfm,9304,16140,8094,8511,7948,9304,58,86,38
"6",-53.5971892897196,"-30.7654074745763",0.99464091017957,0.526866704471532,0.267550634489643,0.0452304098006712,5.9152821225527,0.5078146563807,0.0858479183003964,238,7252,NP12vpfm,8634,14096,7854,8193,7724,8634,45,70,31
"7",-53.5959744485981,"-30.7654074745763",0.23664072989748,0.966808969233243,0.888574429990268,0.013130826964986,67.6708658456696,0.919079630275853,0.0135816147582907,244,7252,NP12vpfm,8491,14279,7789,8149,7722,8491,47,78,34
"8",-53.5947596074766,"-30.7654074745763",0.123114009545922,0.398011919237841,0.770500105132044,0.435189693582322,1.77049253806902,1.93587193722109,1.09340869593974,249,7252,NP12vpfm,8652,15511,7829,8134,7673,8652,51,89,40
"9",-53.5935447663551,"-30.7654074745763",0.323198973059093,0.975470561929026,0.0933843655311527,0.0318261308760505,2.93420415742164,0.0957326332293226,0.0326264390932651,265,7252,NP12vpfm,9364,12691,8946,8677,7889,9364,43,70,37
"10",-53.5923299252336,"-30.7654074745763",0.0742646873077669,0.355214089256303,0.19397986491298,0.0813419459030611,2.38474581299241,0.546092823398722,0.228994142865682,297,7252,NP12vpfm,8647,14373,7871,8204,7687,8647,49,74,35
"11",-53.5911150841121,"-30.7654074745763",0.273078334172581,0.674219638671569,0.445038605678554,0.952867678071896,0.467051843524673,0.66007956480684,1.41328971067849,295,7252,NP12vpfm,9883,16831,8306,8787,7969,9883,60,86,39
"12",-53.5899002429907,"-30.7654074745763",0.280209849259439,0.490466240216595,0.58422173487754,0.562578882809453,1.0384707864611,1.19115585737265,1.14702875892337,267,7252,NP12vpfm,9197,16305,8103,8487,7866,9197,60,87,34
"13",-53.5959744485981,"-30.7608319491525",0.983383185637556,0.172025589811435,0.0024588353858935,0.227116352007782,0.0108263247633057,0.0142934280218934,1.32024748327696,270,7252,NP12vpfm,11290,18154,9480,9522,8380,11290,53,86,41
"14",-53.5947596074766,"-30.7608319491525",0.141442354708678,0.167111518264662,0.571309922308184,0.104865376649143,5.44803194880675,3.41873455666518,0.62751734732649,285,7252,NP12vpfm,10803,17252,8662,8990,7992,10803,60,89,45
"15",-53.5935447663551,"-30.7608319491525",0.285041984830041,0.743947853937602,0.160512115918676,0.716359971009722,0.224066282894662,0.215757213451333,0.962916913084887,297,7252,NP12vpfm,8734,14917,7850,8181,7702,8734,59,84,42
"16",-53.5923299252336,"-30.7608319491525",0.185615870955398,0.384257317876546,0.280722307836358,0.129738583068556,2.16375345866094,0.730558130649703,0.337634644892406,313,7252,NP12vpfm,8618,15700,7829,8204,7680,8618,57,79,41
"17",-53.5911150841121,"-30.7608319491525",0.134684461748756,0.9130590937679,0.638377681000309,0.650262387078735,0.98172321463676,0.699163597797302,0.712179958030221,315,7252,NP12vpfm,10456,12645,9111,9064,8351,10456,49,71,35
"18",-53.5899002429907,"-30.7608319491525",0.839523178180546,0.763100776797207,0.83730160239739,0.954135193650954,0.877550275861321,1.09723594557407,1.25033969648876,304,7252,NP12vpfm,9238,18750,8037,8507,7856,9238,64,88,36
"19",-53.5886854018692,"-30.7608319491525",0.0673514848671981,0.489165104791104,0.893582475553586,0.953642852552819,0.937020052278003,1.82675024608549,1.94953164731582,293,7252,NP12vpfm,9247,17576,8115,8546,7977,9247,68,92,40
"20",-53.5874705607477,"-30.7608319491525",0.643928277998607,0.153953057203252,0.465773366852774,0.835494399174806,0.557482332990868,3.02542460223996,5.42694256517277,294,7252,NP12vpfm,9284,16552,8136,8543,7946,9284,65,88,42
"21",-53.5886854018692,"-30.7562564237288",0.0309657495473468,0.358859464461579,0.172437986411392,0.0581717112228504,2.96429282870497,0.480516757918346,0.162101649764565,241,7252,NP12vpfm,8878,14893,8052,8422,7846,8878,54,80,33
"22",-53.5874705607477,"-30.7562564237288",0.773018048260066,0.507978608970016,0.0440312080463108,0.293562188341436,0.149989371230259,0.0866792563088218,0.577902658020712,246,7252,NP12vpfm,8933,14648,8047,8204,7722,8933,57,83,35
"23",-53.5886854018692,"-30.769983",0.0854309482882736,0.0138038036277112,0.892108538226338,0.88188452558219,1.01159336891346,64.6277332166205,63.8870668814647,232,2778,NP3C_cortado_1vz,10355,15801,8668,8964,8123,10355,65,93,35
"24",-53.5874705607477,"-30.769983",0.739783894414459,0.272239477075872,0.382692433896073,0.869029070050725,0.44036781631912,1.40571983904237,3.19214935095005,237,2778,NP3C_cortado_1vz,10144,17481,8348,8895,8003,10144,65,90,35
"25",-53.5862557196262,"-30.769983",0.576078339508142,0.336752391874217,0.489631222460218,0.763272595079308,0.641489325853947,1.45397993978645,2.26656918702571,241,2778,NP3C_cortado_1vz,8577,12409,7939,8160,7606,8577,58,81,29
"26",-53.5850408785047,"-30.769983",0.443496525427627,0.313205519782662,0.374928868692696,0.626436347832237,0.598510718591163,1.1970697992579,2.00008080402584,246,2778,NP3C_cortado_1vz,10409,17214,8754,9317,8114,10409,71,94,42
"27",-53.5838260373832,"-30.769983",0.403362021136486,0.908365715135212,0.0095865522251323,0.890084617169071,0.010770382995296,0.0105536262161825,0.979874738047087,248,2778,NP3C_cortado_1vz,10374,18341,8608,9422,8069,10374,70,94,42
"28",-53.5826111962617,"-30.769983",0.334638821003229,0.844114235461083,0.62858823269333,0.844492811862606,0.744338168263293,0.744671996142767,1.00044848953568,257,2778,NP3C_cortado_1vz,10289,17752,8713,9351,8090,10289,70,94,42
"29",-53.5813963551402,"-30.769983",0.701565195257647,0.16420709611719,0.118017994674597,0.298956616730401,0.394766290725807,0.718714339789377,1.82060717106308,262,2778,NP3C_cortado_1vz,10460,18143,8757,9460,8129,10460,65,93,35
"30",-53.5801815140187,"-30.769983",0.482205559253185,0.492918827674348,0.190477233185768,0.540867201395739,0.352170057075435,0.386427181295677,1.09727438074869,273,2778,NP3C_cortado_1vz,9674,20419,8333,9384,8116,9674,70,102,39
"31",-53.5789666728972,"-30.769983",0.0538994449133897,0.391002794853852,0.249661905009772,0.240757426389062,1.03698527083572,0.638516932092749,0.615743492265961,289,2778,NP3C_cortado_1vz,9596,18615,8334,9216,8097,9596,66,103,34
"32",-53.5777518317757,"-30.769983",0.308901907997811,0.800054512283597,0.396420031013571,0.647325626962765,0.612396627758372,0.49549127581578,0.809101901213084,300,2778,NP3C_cortado_1vz,10760,25363,8641,10026,8311,10760,75,115,42
"33",-53.5765369906542,"-30.769983",0.230041445216169,0.455974659891273,0.976259388767272,0.0612937413475381,15.9275542217572,2.14103869061509,0.134423569419743,293,2778,NP3C_cortado_1vz,11317,25517,8936,10316,8529,11317,81,119,44
"34",-53.5753221495327,"-30.769983",0.611531613078222,0.581695670632316,0.46000300869772,0.0456856171517105,10.0688802598456,0.790796686173866,0.0785386920656453,287,2778,NP3C_cortado_1vz,10218,20333,8515,9612,8192,10218,69,105,41
"35",-53.5741073084112,"-30.769983",0.254043595500469,0.30795091442411,0.918148744155322,0.654718761705277,1.4023559394631,2.98147757045088,2.1260490910691,304,2778,NP3C_cortado_1vz,10315,22046,8495,9620,8218,10315,73,110,41
"36",-53.5728924672897,"-30.769983",0.86474351762365,0.0152355548872491,0.230228854097524,0.12205800443935,1.88622495636428,15.1112877608551,8.01139212471365,294,2778,NP3C_cortado_1vz,10691,23890,8752,9914,8347,10691,79,118,39
"37",-53.5716776261682,"-30.769983",0.364245123049791,0.43531149865399,0.391258043032116,0.0674073271429707,5.80438447295587,0.898800156306254,0.154848487465639,281,2778,NP3C_cortado_1vz,11240,23617,8913,10061,8453,11240,76,113,44
"38",-53.5704627850467,"-30.769983",0.327041547666892,0.740936333795098,0.485439308172906,0.886987695898026,0.547289788142355,0.655170067968554,1.19711728989568,284,2778,NP3C_cortado_1vz,9907,18785,8378,9253,8162,9907,67,104,35
"39",-53.5692479439252,"-30.769983",0.903071943488682,0.97621944981632,0.546742510472078,0.355618056663425,1.5374430522507,0.560061070873921,0.364280855836601,306,2778,NP3C_cortado_1vz,10540,22176,8655,9702,8311,10540,74,111,42
"40",-53.5680331028037,"-30.769983",0.0320819102071533,0.951048368705205,0.255988347901935,0.39314513318892,0.651129382743557,0.269164383563843,0.413380797576219,305,2778,NP3C_cortado_1vz,10973,24878,8783,10077,8456,10973,79,116,47
"41",-53.5668182616822,"-30.769983",0.871347858553273,0.436903770202654,0.854030262053023,0.943216294608616,0.905444771188351,1.95473310211283,2.15886508411478,285,2778,NP3C_cortado_1vz,9773,18439,8263,8712,8004,9773,61,95,34
"42",-53.5485956448598,"-30.769983",0.348482355107863,0.715299219869004,0.0911131246951026,0.365817355602935,0.249067255283531,0.127377637447708,0.511418641935509,312,2778,NP3C_cortado_1vz,10825,21882,8806,9732,8371,10825,74,105,37
"43",-53.5473808037383,"-30.769983",0.695097932556257,0.481953220679703,0.941745236522461,0.0941373647203426,10.0039473095528,1.95401793392792,0.195324692690257,310,2778,NP3C_cortado_1vz,11016,21554,8706,9805,8323,11016,73,106,37
"44",-53.5461659626168,"-30.769983",0.541087456600653,0.412399970584806,0.395024618716265,0.587673246656507,0.672184110751524,0.957867717973157,1.42500797423228,304,2778,NP3C_cortado_1vz,10245,18157,8758,8981,8152,10245,63,94,37
"45",-53.5449511214953,"-30.769983",0.0401863540530319,0.655072636252613,0.263822149247904,0.970305644889069,0.271895923349045,0.40273724568487,1.4812184041754,310,2778,NP3C_cortado_1vz,10461,17809,8663,9119,8129,10461,72,101,43
